timestamp,session,mtx_code,mtx_close,call_code,call_close,call_bid,call_ask,put_code,put_close,put_bid,put_ask,position,side,entry_price,stop_loss,score,trend
2026-04-14 13:45:34,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:46:34,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:47:34,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:48:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:49:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:50:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:51:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:52:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:53:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:54:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:55:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:56:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:57:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:58:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 13:59:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:00:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:01:35,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:02:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:03:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:04:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:05:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:06:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:07:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:08:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:09:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:10:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:11:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:12:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:13:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:14:36,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:15:37,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:16:37,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:17:37,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:18:37,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:19:37,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:20:37,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:21:37,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:22:37,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:33:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:34:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:35:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:36:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:37:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:38:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:39:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:40:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:41:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:42:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:43:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:44:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:45:02,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:46:03,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:47:03,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:48:03,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:49:03,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:50:03,1,MXFD6,36368.5,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:50:33,1,MXFD6,36374.0,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:50:53,1,MXFD6,36374.0,TXO36400D6,156.0,154.0,168.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:51:34,1,MXFD6,36362.0,TXO36400D6,156.0,1.3,205.0,TXO36400P6,188.0,184.0,195.0,0,,0.0,0.0,0.0,
2026-04-14 14:51:53,1,MXFD6,36480.0,TXO36400D6,156.0,1.3,205.0,TXO36400P6,188.0,4.0,400.0,0,,0.0,0.0,0.0,
2026-04-14 14:52:34,1,MXFD6,36441.5,TXO36400D6,156.0,13.5,205.0,TXO36400P6,188.0,4.0,265.0,0,,0.0,0.0,0.0,
2026-04-14 14:52:53,1,MXFD6,36442.0,TXO36400D6,156.0,13.5,205.0,TXO36400P6,188.0,4.0,265.0,0,,0.0,0.0,0.0,
2026-04-14 14:53:34,1,MXFD6,36460.0,TXO36400D6,156.0,80.0,205.0,TXO36400P6,188.0,4.0,265.0,0,,0.0,0.0,0.0,
2026-04-14 14:53:53,1,MXFD6,36459.5,TXO36400D6,156.0,80.0,205.0,TXO36400P6,188.0,4.0,265.0,0,,0.0,0.0,0.0,
2026-04-14 14:54:34,1,MXFD6,36388.0,TXO36400D6,156.0,80.0,185.0,TXO36400P6,188.0,4.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:54:53,1,MXFD6,36388.0,TXO36400D6,156.0,80.0,185.0,TXO36400P6,188.0,20.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:55:34,1,MXFD6,36373.5,TXO36400D6,156.0,131.0,185.0,TXO36400P6,188.0,20.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:55:53,1,MXFD6,36373.5,TXO36400D6,156.0,131.0,185.0,TXO36400P6,188.0,20.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:56:35,1,MXFD6,36373.5,TXO36400D6,156.0,131.0,185.0,TXO36400P6,188.0,111.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:56:53,1,MXFD6,36373.5,TXO36400D6,156.0,131.0,185.0,TXO36400P6,188.0,111.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:57:35,1,MXFD6,36380.5,TXO36400D6,156.0,131.0,177.0,TXO36400P6,188.0,111.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:57:53,1,MXFD6,36364.0,TXO36400D6,156.0,131.0,177.0,TXO36400P6,188.0,111.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:58:35,1,MXFD6,36363.0,TXO36400D6,156.0,131.0,171.0,TXO36400P6,188.0,111.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:58:54,1,MXFD6,36363.0,TXO36400D6,156.0,131.0,171.0,TXO36400P6,188.0,111.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:59:35,1,MXFD6,36363.5,TXO36400D6,156.0,157.0,163.0,TXO36400P6,188.0,111.0,230.0,0,,0.0,0.0,0.0,
2026-04-14 14:59:54,1,MXFD6,36364.5,TXO36400D6,156.0,157.0,163.0,TXO36400P6,188.0,162.0,218.0,0,,0.0,0.0,0.0,
